service_code,service_name,description,charge_type,charge_amount,minimum_charge,percentage_rate,products_applicable,price_mechanism,net_charge_original,created_timestamp
AA,SATURDAY DELIVERY,"On shipper's request, delivery of a shipment up to 300kg and pieces up to 30kg in the destination country on a Saturday, to selected postal/zip code areas that have the capability, in countries where Saturday is not a normal working day.",rate per shipment,65.0,,,All Products,rate per shipment,65.00 AUD,2025-08-02T19:09:22.814319
AB,SATURDAY PICKUP,"At shipper's request, an ad-hoc pickup of a shipment up to 300kg/piece up to 30kg on a Saturday, at selected postal/zip code areas that have the capability, in countries where Saturday is not a normal working day.",rate per shipment,65.0,,,All Products,rate per shipment,65.00 AUD,2025-08-02T19:09:22.814319
DD,DUTY TAX PAID,"On Customer’s request, DHL clears the shipment at destination and arranges for the applicable import duties, taxes and regulatory charges to be invoiced to a specified DHL account at origin or third country, rather than the receiver of the shipment being billed at destination.",% of fiscal charges,,30.0,2.0,All Products,% of fiscal charges,2.00 % with minimum of 30.00 AUD,2025-08-02T19:09:22.814319
GK,BULK PACKAGING,Charges apply for all DHL standard packaging items including plastic flyers provided in bulks or stacks.,rate per shipment,,,,All,Rate per month/invoice,Variable,2025-08-02T19:09:22.814319
II,SHIPMENT INSURANCE,"Shipment Insurance can be arranged for shipments containing valuable goods, although some restrictions and limitations may apply. The service availability will depend on the destination and content of the shipment. The service is subject to specific limitations and exclusions as described in our Terms and Conditions.",% of insured value,,,2.5,"EXPRESS DOMESTIC, EXPRESS BREAKBULK (export), MEDICAL EXPRESS (export), EXPRESS JUMBO, EXPRESS WORLDWIDE, EXPRESS 9:00, EXPRESS 10:30, EXPRESS 12:00",% of insured value,25.00 AUD or 2.50% of shipment value if higher,2025-08-02T19:09:22.814319
IB,EXTENDED LIABILITY,"If you are sending valuable documents such as passports, visa applications or regulatory certificates you can extend coverage and compensation beyond the DHL standard liability described in our Terms and Conditions. In the event of full or partial loss to a document shipment, a fixed compensation will be paid regardless of the replacement cost of the document.",rate per shipment,8.0,,,All Products,rate per shipment,8.00 AUD,2025-08-02T19:09:22.815316
KA,CHANGE OF BILLING,"Applies when a customer requests a change of defined billing information on an already issued invoice, which is not due to DHL Express’ fault & which will result in a reissuing of the invoice. In case of account change, crediting of the old account & debiting of the new account.",rate per shipment,20.0,,,All Products,rate per shipment,20.00 AUD,2025-08-02T19:09:22.815316
KD,PRINTED INVOICE,"Where e-Billing is the standard, customers requesting a hard copy Printed Invoice are to be charged. A charge applies to every paper invoice provided.",rate per shipment,4.5,,,All,rate per invoice,4.50 AUD,2025-08-02T19:09:22.815316
NN,NEUTRAL DELIVERY,"This service allows for the delivery of non-document shipments, without any value of the product being shared or exposed to the receiver, since the commercial invoice is removed prior to delivery.",rate per shipment,8.0,,,All Products,rate per shipment,8.00 AUD,2025-08-02T19:09:22.815316
PA,SHIPMENT PREPARATION,"At shipper’s request a convenient and on-demand service for shipment volumes that require short-term extra resources for their preparation. DHL manages the process of shipment preparation, content selection, labeling & paperwork, and sends the parcels to the addresses provided",rate per shipment,40.0,,,All Products,rate per shipment,40.00 AUD,2025-08-02T19:09:22.815316
QA,DEDICATED PICKUP,"On shipper’s request, an immediate or non-routine, once-only pickup of a shipment within a normal working day, weekend or a holiday that may involve a specific vehicle such as tail lift truck or more than one courier.",rate per kg,0.75,50.0,,"IMPORT EXPRESS WORLDWIDE, IMPORT EXPRESS 9:00, IMPORT EXPRESS 12:00, 3RD COUNTRY EXPRESS WORLDWIDE, 3RD COUNTRY EXPRESS 9:00, 3RD COUNTRY EXPRESS 10:30, 3RD COUNTRY EXPRESS 12:00, EXPRESS DOMESTIC, EXPRESS DOMESTIC 9:00, EXPRESS DOMESTIC 12:00, EXPRESS WORLDWIDE, EXPRESS 9:00, EXPRESS 10:30, EXPRESS 12:00",rate per kg,0.75 AUD with minimum of 50.00 AUD,2025-08-02T19:09:22.815316
SD,ADULT SIGNATURE,"DHL will obtain a delivery signature from an adult at the stipulated delivery address. If, for local legislative reasons, proof of the receivers age needs to be verified, DHL may need to request presentation of a valid government-issued personal identification document.",rate per shipment,10.0,,,All Products,rate per shipment,10.00 AUD,2025-08-02T19:09:22.815316
SF,DIRECT SIGNATURE,"If you are sending sensitive documents or high value contents you can request DHL to obtain a direct signature from the consignee or a representative at the delivery address. DHL will ensure your shipment is not re-directed, or delivered at an alternative address.",rate per shipment,7.9,,,All Products,rate per shipment,7.90 AUD,2025-08-02T19:09:22.815316
